"","id","start","end","is.overnight","start.r","end.r"
"187","skyway-park-bowl-seattle-2",1200,66.6666666666667,TRUE,1200,67
"188","box-house-seattle-3",1171.42857142857,1285.71428571429,TRUE,1171,1286
"189","yellow-dot-cafe-seattle-2",828.571428571429,1600,FALSE,829,1600
"190","elephant-and-castle-seattle",1130,28.5714285714286,TRUE,1130,29
"191","cafe-pho-seattle",900,1600,FALSE,900,1600
"192","vista-cafe-seattle",NA,NA,FALSE,NA,NA
"193","redtrees-restaurant-bar-seattle",630,0,FALSE,630,0
"194","the-bar-movement-seattle",NA,NA,FALSE,NA,NA
"195","samurai-noodle-seattle-3",1100,2200,FALSE,1100,2200
"196","kong-tofu-house-seattle-seattle",1000,2200,FALSE,1000,2200
"197","madeleine-bread-and-desserts-seattle",1030,2100,FALSE,1030,2100
"198","the-crab-pot-seattle-2",1100,2108.57142857143,FALSE,1100,2109
"199","great-state-burger-seattle-6",1100,1800,FALSE,1100,1800
"200","blue-moon-burgers-seattle-14",1108.57142857143,2100,FALSE,1109,2100
"201","ezells-famous-chicken-seattle-2",1014.28571428571,2114.28571428571,FALSE,1014,2114
"202","jai-thai-seattle-7",785.714285714286,0,TRUE,786,0
"203","all-water-seafood-and-oyster-bar-seattle-2",650,1571.42857142857,FALSE,650,1571
"204","thaiger-room-seattle",1128.57142857143,200,TRUE,1129,200
"205","hk-dim-sum-seattle-2",1000,2100,FALSE,1000,2100
"206","13-coins-restaurant-seattle-3",0,0,TRUE,0,0
"207","blue-c-sushi-seattle-3",1100,2128.57142857143,FALSE,1100,2129
"208","bernards-on-seneca-seattle",616.666666666667,1550,FALSE,617,1550
"209","the-dinner-detective-interactive-murder-mystery-show-seattle",800,1420,FALSE,800,1420
"210","thai-fusion-seattle-2",1128.57142857143,2100,FALSE,1129,2100
"211","daily-grill-seattle",600,2300,FALSE,600,2300
"212","quality-athletics-seattle",1130,2128.57142857143,FALSE,1130,2129
"213","thai-ginger-pacific-place-seattle",1100,2158.57142857143,FALSE,1100,2159
"214","kigo-kitchen-seattle-3",1100,1600,FALSE,1100,1600
"215","plaza-cafe-seattle-2",NA,NA,FALSE,NA,NA
"216","p-f-changs-seattle",1100,2228.57142857143,FALSE,1100,2229
"217","drunkys-two-shoe-bbq-seattle-3",1100,0,FALSE,1100,0
"218","the-organic-coup-seattle",700,1500,FALSE,700,1500
"219","mexico-cantina-y-cocina-seattle",1100,2228.57142857143,FALSE,1100,2229
"220","dini-kitchen-seattle",NA,NA,FALSE,NA,NA
"221","ambakity-cocina-mexicana-seattle",1100,2171.42857142857,FALSE,1100,2171
"222","little-lago-seattle",785.714285714286,2014.28571428571,FALSE,786,2014
"223","outlaw-tamales-seattle",800,1400,FALSE,800,1400
"224","el-camion-seattle-9",NA,NA,FALSE,NA,NA
"225","momma-bears-fry-bread-seattle-2",1100,1900,FALSE,1100,1900
"226","ummas-kimchi-seattle",1000,2200,FALSE,1000,2200
"227","zheng-cafe-seattle-2",1100,2000,FALSE,1100,2000
"228","alhadeff-grill-and-cafe-alki-seattle",1100,1300,FALSE,1100,1300
"229","sipology-renton",NA,NA,FALSE,NA,NA
"230","ittos-2-capitol-hill-seattle",1600,28.5714285714286,TRUE,1600,29
"231","rise-and-shine-bakery-shoreline",1033.33333333333,1900,FALSE,1033,1900
"232","med-mix-seattle-3",1100,2100,FALSE,1100,2100
"233","wasabi-express-seattle-4",NA,NA,FALSE,NA,NA
"234","loxicha-authentic-oaxaca-cuisine-seattle",1100,2100,FALSE,1100,2100
"235","cafe-mia-seattle-3",866.666666666667,1400,FALSE,867,1400
"236","brazil-on-the-road-seattle",NA,NA,FALSE,NA,NA
"237","umami-kushi-seattle",NA,NA,FALSE,NA,NA
"238","bagels-etc-tukwila-2",944.285714285714,2111.42857142857,FALSE,944,2111
"239","jamaican-island-cuisine-seattle",NA,NA,FALSE,NA,NA
"240","taqueria-el-rincon-burien",1000,2300,FALSE,1000,2300
"241","great-nw-soup-seattle",700,1500,FALSE,700,1500
"242","kobe-bento-teriyaki-shoreline-2",1030,2100,FALSE,1030,2100
"243","sizzle-dogs-renton",930,1700,FALSE,930,1700
"244","the-flame-seattle",NA,NA,FALSE,NA,NA
"245","slice-box-pizza-seattle",1100,1800,FALSE,1100,1800
"246","millionaire-hotdogs-seattle-2",900,1900,FALSE,900,1900
"247","uncle-eddies-seattle",1100,28.5714285714286,TRUE,1100,29
"248","lumber-yard-bar-seattle",1485.71428571429,57.1428571428571,TRUE,1486,57
"249","the-roll-pod-seattle",1100,1400,FALSE,1100,1400
"250","sound-and-fog-seattle",678.571428571429,1928.57142857143,FALSE,679,1929
"251","rain-city-hot-dogs-seattle-2",1016.66666666667,1800,FALSE,1017,1800
"252","2-fingers-social-seattle",1600,0,FALSE,1600,0
"253","petit-pierre-bakery-seattle",710,1633.33333333333,FALSE,710,1633
"254","cone-and-steiner-seattle-5",728.571428571429,1971.42857142857,FALSE,729,1971
"255","lorenas-kitchen-seattle",1100,1700,FALSE,1100,1700
"256","cafe-anclair-seattle",700,1700,FALSE,700,1700
"257","santa-fe-mexican-grill-and-cantina-seattle",1100,2128.57142857143,FALSE,1100,2129
"258","ku-sushi-and-izakaya-seattle-2",1700,200,TRUE,1700,200
"259","steelhead-diner-seattle",1100,2200,FALSE,1100,2200
"260","nirmals-seattle",1415,1800,FALSE,1415,1800
"261","lowells-restaurant-seattle",700,1933.33333333333,FALSE,700,1933
"262","urbane-seattle",630,0,FALSE,630,0
"263","bebas-and-amigos-seattle",630,1500,FALSE,630,1500
"264","the-cheesecake-factory-seattle",1071.42857142857,1642.85714285714,FALSE,1071,1643
"265","hong-kong-seafood-restaurant-seattle-2",1071.42857142857,2200,FALSE,1071,2200
"266","lindseys-office-lunch-seattle",NA,NA,FALSE,NA,NA
"267","tenoch-mexican-grill-seattle",1100,1700,FALSE,1100,1700
"268","endolyne-joes-seattle",800,2228.57142857143,FALSE,800,2229
"269","fado-irish-pub-and-restaurant-seattle-2",1130,1430,FALSE,1130,1430
"270","shultzys-sausage-seattle",1037.14285714286,171.428571428571,TRUE,1037,171
"271","pho-25-seattle",1000,1985.71428571429,FALSE,1000,1986
"272","wild-rye-cafe-bakery-seattle",730,1500,FALSE,730,1500
"273","whisky-west-seattle",1371.42857142857,85.7142857142857,TRUE,1371,86
"274","kigo-kitchen-seattle-2",1030,1600,FALSE,1030,1600
"275","old-village-korean-restaurant-shoreline-3",1100,2200,FALSE,1100,2200
"276","dukes-seafood-and-chowder-seattle-4",1100,2228.57142857143,FALSE,1100,2229
"277","sound-soups-seattle",930,1530,FALSE,930,1530
"278","herbs-thai-to-go-seattle",NA,NA,FALSE,NA,NA
"279","zaw-pizza-take-and-bake-seattle",1400,2100,FALSE,1400,2100
"280","wild-ginger-seattle",1197.14285714286,2271.42857142857,FALSE,1197,2271
"281","scout-seattle",630,0,FALSE,630,0
"282","contour-seattle",1483.33333333333,800,TRUE,1483,800
"283","elliott-bay-pizza-seattle",1100,2012.85714285714,FALSE,1100,2013
"284","taco-del-mar-seattle-28",1000,1971.42857142857,FALSE,1000,1971
"285","ferry-noodle-house-seattle-3",1100,2000,FALSE,1100,2000
"286","palomino-seattle",1100,2271.42857142857,FALSE,1100,2271
"287","nickerson-street-saloon-seattle",1130,100,TRUE,1130,100
"288","yard-house-seattle",1100,1642.85714285714,FALSE,1100,1643
"289","dumplings-of-fury-seattle",1100,2100,FALSE,1100,2100
"290","soups-on-seattle-2",775,1583.33333333333,FALSE,775,1583
"291","burnetts-pub-renton",1600,66.6666666666667,TRUE,1600,67
"292","thai-2-go-seattle-3",1100,1800,FALSE,1100,1800
"293","hamanasu-seattle",1450.83333333333,1840,FALSE,1451,1840
"294","sushi-kudasai-seattle-3",1000,1700,FALSE,1000,1700
"295","hans-deli-and-grocery-seattle",971.428571428571,2157.14285714286,FALSE,971,2157
"296","sisters-and-brothers-seattle",1066.66666666667,2200,FALSE,1067,2200
"297","sushi-town-seattle",1114.28571428571,2100,FALSE,1114,2100
"298","zapverr-thai-restaurant-and-lounge-seattle",1128.57142857143,1628.57142857143,TRUE,1129,1629
"299","noodle-nation-seattle",1128.57142857143,0,FALSE,1129,0
"300","cafe-sisters-garden-seattle",700,1500,FALSE,700,1500
"301","sansei-seafood-restaurant-and-sushi-bar-seattle-3",1630,2228.57142857143,FALSE,1630,2229
"302","northlake-tavern-and-pizza-house-seattle",1114.28571428571,2200,FALSE,1114,2200
"303","cafe-zum-zum-seattle",1100,1500,FALSE,1100,1500
"304","cedars-restaurant-seattle-5",1100,2190,FALSE,1100,2190
"305","beths-cafe-seattle",600,600,TRUE,600,600
"306","ying-thai-kitchen-seattle",1128.57142857143,2200,FALSE,1129,2200
"307","maxwells-cafe-seattle",600,2200,FALSE,600,2200
"308","i-see-food-seattle",1130,2200,FALSE,1130,2200
"309","sonyas-bar-and-grill-and-event-space-seattle",1300,200,TRUE,1300,200
"310","mae-phim-thai-seattle-4",1104.28571428571,2090,FALSE,1104,2090
"311","ikiiki-seattle",1337.5,1858.33333333333,FALSE,1338,1858
"312","ba-bar-seattle-7",1100,1300,TRUE,1100,1300
"313","campus-teriyaki-seattle",1100,2030,FALSE,1100,2030
"314","the-stone-house-café-seattle-4",NA,NA,FALSE,NA,NA
"315","wild-ginger-kitchen-seattle",1100,1430,FALSE,1100,1430
"316","brass-tacks-seattle",1400,2150,FALSE,1400,2150
"317","trenchers-kitchen-and-tap-renton",1071.42857142857,1314.28571428571,TRUE,1071,1314
"318","orrapin-thai-cuisine-seattle",1100,2130,FALSE,1100,2130
"319","nara-chinese-restaurant-shoreline",1271.42857142857,200,TRUE,1271,200
"320","heaven-sent-fried-chicken-renton",1014.28571428571,2085.71428571429,FALSE,1014,2086
"321","mustard-seed-cafe-seattle",700,1500,FALSE,700,1500
"322","asia-ginger-teriyaki-seattle",NA,NA,FALSE,NA,NA
"323","zocalo-seattle-3",1130,1585.71428571429,FALSE,1130,1586
"324","il-fornaio-seattle",1130,2128.57142857143,FALSE,1130,2129
"325","korean-tofu-house-seattle",1130,2100,FALSE,1130,2100
"326","ravenleaf-public-house-seattle",1433.33333333333,2176.66666666667,FALSE,1433,2177
"327","dunbar-room-seattle",700,2200,FALSE,700,2200
"328","chilis-south-indian-restaurant-seattle-3",1185.71428571429,2200,FALSE,1186,2200
"329","primo-seattle",1685.71428571429,1628.57142857143,FALSE,1686,1629
"330","bok-a-bok-fried-chicken-seattle-4",1100,2200,FALSE,1100,2200
"331","feast-buffet-renton",1365,1899.28571428571,FALSE,1365,1899
"332","evergreens-salad-seattle-2",1030,1600,FALSE,1030,1600
"333","waters-table-renton-6",630,2208.57142857143,FALSE,630,2209
"334","great-state-burger-seattle-3",1100,2100,FALSE,1100,2100
"335","johnny-rockets-seattle",1100,2228.57142857143,FALSE,1100,2229
"336","thai-65-seattle",1100,2200,FALSE,1100,2200
"337","local-point-seattle-2",807.142857142857,2021.42857142857,FALSE,807,2021
"338","subway-seattle-37",742.857142857143,1814.28571428571,FALSE,743,1814
"339","buffalo-wild-wings-seattle-2",1042.85714285714,114.285714285714,TRUE,1043,114
"340","pabla-punjabi-cuisine-seattle",1030,1430,FALSE,1030,1430
"341","gameworks-seattle",1061.42857142857,42.8571428571429,TRUE,1061,43
"342","blue-water-taco-grill-seattle-2",700,1530,FALSE,700,1530
"343","the-rotunda-seattle",730,1700,FALSE,730,1700
"344","the-lodge-sports-grille-downtown-seattle",1100,371.428571428571,TRUE,1100,371
"345","new-saigon-vietnamese-restaurant-ii-seattle",NA,NA,FALSE,NA,NA
"346","pho-thuy-hong-seattle",NA,NA,FALSE,NA,NA
"347","chez-dave-seattle-2",700,1530,FALSE,700,1530
"348","subway-seattle-31",1000,1500,FALSE,1000,1500
